[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
106447 queries in the dataset
5345 queries in the dataset
load pretrained weights/resnetsafa_dgcnn_asam_2to3_up.pth encoder!
load initial weights!
iver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 10
lr: 0.0001
scheduler: CosineAnnealingLR
num_layers: 1
num_heads: 8
seq_len: 5
model_type: transmixer
use_cloud: True
use_polar: False
freeze: False
aug_mode: 0
tile_size: 224
image_size: 224
map_type: multi
pretrained: weights/resnetsafa_dgcnn_asam_2to3_up.pth
encoder_dim: 512
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

106447 queries in the dataset
5345 queries in the dataset
Using 6 dataloader workers every process
load pretrained weights/resnetsafa_dgcnn_asam_2to3_up.pth encoder!
Model device: cuda:0
Model name: model_20231025_2323
Number of model parameters: 47718072
load initial weights!
Epoch[1-1]	loss: 0.0614	total loss: 0.0614
Epoch[1-2]	loss: 0.0480	total loss: 0.0480
Epoch[1-3]	loss: 0.1105	total loss: 0.1105
Epoch[1-4]	loss: 0.0743	total loss: 0.0743
Epoch[1-5]	loss: 0.0986	total loss: 0.0986
Epoch[1-6]	loss: 0.1267	total loss: 0.1267
Epoch[1-7]	loss: 0.4492	total loss: 0.4492
Epoch[1-8]	loss: 0.1478	total loss: 0.1478
Epoch[1-9]	loss: 0.3560	total loss: 0.3560
Epoch[1-10]	loss: 0.2337	total loss: 0.2337
Epoch[1-11]	loss: 0.1772	total loss: 0.1772
Epoch[1-12]	loss: 0.0829	total loss: 0.0829
Epoch[1-13]	loss: 0.1104	total loss: 0.1104
Epoch[1-14]	loss: 0.1580	total loss: 0.1580
Epoch[1-15]	loss: 0.0970	total loss: 0.0970
Epoch[1-16]	loss: 0.1184	total loss: 0.1184
Epoch[1-17]	loss: 0.3141	total loss: 0.3141
Epoch[1-18]	loss: 0.1182	total loss: 0.1182
Epoch[1-19]	loss: 0.0731	total loss: 0.0731
Epoch[1-20]	loss: 0.1112	total loss: 0.1112
Epoch[1-21]	loss: 0.1577	total loss: 0.1577
Epoch[1-22]	loss: 0.1309	total loss: 0.1309
Epoch[1-23]	loss: 0.0762	total loss: 0.0762
Epoch[1-24]	loss: 0.1833	total loss: 0.1833
Epoch[1-25]	loss: 0.1790	total loss: 0.1790
Epoch[1-26]	loss: 0.1433	total loss: 0.1433
Epoch[1-27]	loss: 0.2168	total loss: 0.2168
Epoch[1-28]	loss: 0.2014	total loss: 0.2014
