[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
106447 queries in the dataset
5345 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 1
num_heads: 8
seq_len: 5
model_type: transmixer
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

106447 queries in the dataset
5345 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20231012_1709
Number of model parameters: 5251072
load initial weights!
Epoch[1-1]	loss: 3.1899	total loss: 3.1899
Epoch[1-2]	loss: 3.1668	total loss: 3.1668
Epoch[1-3]	loss: 3.1872	total loss: 3.1872
Epoch[1-4]	loss: 3.2085	total loss: 3.2085
Epoch[1-5]	loss: 3.1969	total loss: 3.1969
Epoch[1-6]	loss: 3.1746	total loss: 3.1746
Epoch[1-7]	loss: 3.1546	total loss: 3.1546
Epoch[1-8]	loss: 3.1684	total loss: 3.1684
Epoch[1-9]	loss: 3.1627	total loss: 3.1627
Epoch[1-10]	loss: 3.1751	total loss: 3.1751
Epoch[1-11]	loss: 3.2070	total loss: 3.2070
Epoch[1-12]	loss: 3.1960	total loss: 3.1960
Epoch[1-13]	loss: 3.1806	total loss: 3.1806
Epoch[1-14]	loss: 3.1526	total loss: 3.1526
Epoch[1-15]	loss: 3.1832	total loss: 3.1832
Epoch[1-16]	loss: 3.1629	total loss: 3.1629
Epoch[1-17]	loss: 3.1947	total loss: 3.1947
Epoch[1-18]	loss: 3.1768	total loss: 3.1768
Epoch[1-19]	loss: 3.1971	total loss: 3.1971
Epoch[1-20]	loss: 3.1471	total loss: 3.1471
Epoch[1-21]	loss: 3.1605	total loss: 3.1605
Epoch[1-22]	loss: 3.1537	total loss: 3.1537
Epoch[1-23]	loss: 3.1674	total loss: 3.1674
Epoch[1-24]	loss: 3.1897	total loss: 3.1897
Epoch[1-25]	loss: 3.1995	total loss: 3.1995
Epoch[1-26]	loss: 3.2097	total loss: 3.2097
Epoch[1-27]	loss: 3.1742	total loss: 3.1742
Epoch[1-28]	loss: 3.1844	total loss: 3.1844
Epoch[1-29]	loss: 3.1420	total loss: 3.1420
Epoch[1-30]	loss: 3.2161	total loss: 3.2161
Epoch[1-31]	loss: 3.1634	total loss: 3.1634
Epoch[1-32]	loss: 3.1591	total loss: 3.1591
Epoch[1-33]	loss: 3.1669	total loss: 3.1669
Epoch[1-34]	loss: 3.1934	total loss: 3.1934
Epoch[1-35]	loss: 3.1665	total loss: 3.1665
Epoch[1-36]	loss: 3.1723	total loss: 3.1723
Epoch[1-37]	loss: 3.1918	total loss: 3.1918
Epoch[1-38]	loss: 3.1740	total loss: 3.1740
Epoch[1-39]	loss: 3.2216	total loss: 3.2216
Epoch[1-40]	loss: 3.1885	total loss: 3.1885
Epoch[1-41]	loss: 3.2093	total loss: 3.2093
Epoch[1-42]	loss: 3.1877	total loss: 3.1877
Epoch[1-43]	loss: 3.1631	total loss: 3.1631
Epoch[1-44]	loss: 3.1758	total loss: 3.1758
Epoch[1-45]	loss: 3.1829	total loss: 3.1829
Epoch[1-46]	loss: 3.1486	total loss: 3.1486
Epoch[1-47]	loss: 3.2038	total loss: 3.2038
Epoch[1-48]	loss: 3.1559	total loss: 3.1559
Epoch[1-49]	loss: 3.1645	total loss: 3.1645
Epoch[1-50]	loss: 3.1932	total loss: 3.1932
Epoch[1-51]	loss: 3.1937	total loss: 3.1937
Epoch[1-52]	loss: 3.1905	total loss: 3.1905
Epoch[1-53]	loss: 3.1714	total loss: 3.1714
Epoch[1-54]	loss: 3.1543	total loss: 3.1543
Epoch[1-55]	loss: 3.1886	total loss: 3.1886
Epoch[1-56]	loss: 3.1519	total loss: 3.1519
Epoch[1-57]	loss: 3.1806	total loss: 3.1806
Epoch[1-58]	loss: 3.1760	total loss: 3.1760
Epoch[1-59]	loss: 3.1539	total loss: 3.1539
Epoch[1-60]	loss: 3.1720	total loss: 3.1720
Epoch[1-61]	loss: 3.1758	total loss: 3.1758
Epoch[1-62]	loss: 3.1550	total loss: 3.1550
Epoch[1-63]	loss: 3.1692	total loss: 3.1692
Epoch[1-64]	loss: 3.1850	total loss: 3.1850
Epoch[1-65]	loss: 3.1475	total loss: 3.1475
Epoch[1-66]	loss: 3.1886	total loss: 3.1886
Epoch[1-67]	loss: 3.1634	total loss: 3.1634
Epoch[1-68]	loss: 3.1615	total loss: 3.1615
Epoch[1-69]	loss: 3.1561	total loss: 3.1561
Epoch[1-70]	loss: 3.1755	total loss: 3.1755
Epoch[1-71]	loss: 3.1536	total loss: 3.1536
Epoch[1-72]	loss: 3.1509	total loss: 3.1509
Epoch[1-73]	loss: 3.1353	total loss: 3.1353
Epoch[1-74]	loss: 3.1503	total loss: 3.1503
Epoch[1-75]	loss: 3.1688	total loss: 3.1688
Epoch[1-76]	loss: 3.1557	total loss: 3.1557
Epoch[1-77]	loss: 3.1637	total loss: 3.1637
Epoch[1-78]	loss: 3.1460	total loss: 3.1460
Epoch[1-79]	loss: 3.1473	total loss: 3.1473
Epoch[1-80]	loss: 3.1424	total loss: 3.1424
Epoch[1-81]	loss: 3.1290	total loss: 3.1290
Epoch[1-82]	loss: 3.1615	total loss: 3.1615
Epoch[1-83]	loss: 3.1209	total loss: 3.1209
Epoch[1-84]	loss: 3.0737	total loss: 3.0737
Epoch[1-85]	loss: 3.0250	total loss: 3.0250
Epoch[1-86]	loss: 3.0437	total loss: 3.0437
Epoch[1-87]	loss: 2.9981	total loss: 2.9981
Epoch[1-88]	loss: 2.9348	total loss: 2.9348
Epoch[1-89]	loss: 2.7064	total loss: 2.7064
Epoch[1-90]	loss: 2.3758	total loss: 2.3758
Epoch[1-91]	loss: 2.3344	total loss: 2.3344
Epoch[1-92]	loss: 2.4416	total loss: 2.4416
Epoch[1-93]	loss: 2.0384	total loss: 2.0384
Epoch[1-94]	loss: 2.1841	total loss: 2.1841
Epoch[1-95]	loss: 1.9606	total loss: 1.9606
Epoch[1-96]	loss: 1.4668	total loss: 1.4668
Epoch[1-97]	loss: 1.9066	total loss: 1.9066
Epoch[1-98]	loss: 1.3628	total loss: 1.3628
Epoch[1-99]	loss: 1.2480	total loss: 1.2480
Epoch[1-100]	loss: 1.2290	total loss: 1.2290
Epoch[1-101]	loss: 1.2471	total loss: 1.2471
Epoch[1-102]	loss: 0.8012	total loss: 0.8012
Epoch[1-103]	loss: 1.1200	total loss: 1.1200
Epoch[1-104]	loss: 0.8424	total loss: 0.8424
Epoch[1-105]	loss: 0.9821	total loss: 0.9821
Epoch[1-106]	loss: 1.0149	total loss: 1.0149
Epoch[1-107]	loss: 0.7968	total loss: 0.7968
Epoch[1-108]	loss: 0.9009	total loss: 0.9009
Epoch[1-109]	loss: 0.9786	total loss: 0.9786
Epoch[1-110]	loss: 0.8580	total loss: 0.8580
Epoch[1-111]	loss: 0.7533	total loss: 0.7533
Epoch[1-112]	loss: 0.7113	total loss: 0.7113
Epoch[1-113]	loss: 0.5853	total loss: 0.5853
Epoch[1-114]	loss: 0.5700	total loss: 0.5700
Epoch[1-115]	loss: 0.5163	total loss: 0.5163
Epoch[1-116]	loss: 0.5346	total loss: 0.5346
