[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
106447 queries in the dataset
5345 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 6
num_heads: 8
seq_len: 5
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

106447 queries in the dataset
5345 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20231005_1116
Number of model parameters: 503558144
load initial weights!
Epoch[1-1]	loss: 3.4752	total loss: 3.4752
Epoch[1-2]	loss: 3.4637	total loss: 3.4637
Epoch[1-3]	loss: 3.4650	total loss: 3.4650
Epoch[1-4]	loss: 3.4919	total loss: 3.4919
Epoch[1-5]	loss: 3.4643	total loss: 3.4643
Epoch[1-6]	loss: 3.4629	total loss: 3.4629
Epoch[1-7]	loss: 3.4682	total loss: 3.4682
Epoch[1-8]	loss: 3.4748	total loss: 3.4748
Epoch[1-9]	loss: 3.4742	total loss: 3.4742
Epoch[1-10]	loss: 3.4718	total loss: 3.4718
Epoch[1-11]	loss: 3.4692	total loss: 3.4692
Epoch[1-12]	loss: 3.4593	total loss: 3.4593
Epoch[1-13]	loss: 3.4673	total loss: 3.4673
Epoch[1-14]	loss: 3.4558	total loss: 3.4558
Epoch[1-15]	loss: 3.4579	total loss: 3.4579
Epoch[1-16]	loss: 3.4557	total loss: 3.4557
Epoch[1-17]	loss: 3.4588	total loss: 3.4588
Epoch[1-18]	loss: 3.4653	total loss: 3.4653
Epoch[1-19]	loss: 3.4758	total loss: 3.4758
Epoch[1-20]	loss: 3.4640	total loss: 3.4640
Epoch[1-21]	loss: 3.4624	total loss: 3.4624
Epoch[1-22]	loss: 3.4766	total loss: 3.4766
Epoch[1-23]	loss: 3.4819	total loss: 3.4819
Epoch[1-24]	loss: 3.4777	total loss: 3.4777
Epoch[1-25]	loss: 3.4718	total loss: 3.4718
Epoch[1-26]	loss: 3.4655	total loss: 3.4655
Epoch[1-27]	loss: 3.4721	total loss: 3.4721
Epoch[1-28]	loss: 3.4815	total loss: 3.4815
Epoch[1-29]	loss: 3.4659	total loss: 3.4659
Epoch[1-30]	loss: 3.4610	total loss: 3.4610
Epoch[1-31]	loss: 3.4600	total loss: 3.4600
Epoch[1-32]	loss: 3.4690	total loss: 3.4690
Epoch[1-33]	loss: 3.4607	total loss: 3.4607
Epoch[1-34]	loss: 3.4744	total loss: 3.4744
Epoch[1-35]	loss: 3.4588	total loss: 3.4588
Epoch[1-36]	loss: 3.4654	total loss: 3.4654
Epoch[1-37]	loss: 3.4702	total loss: 3.4702
Epoch[1-38]	loss: 3.4457	total loss: 3.4457
Epoch[1-39]	loss: 3.4701	total loss: 3.4701
Epoch[1-40]	loss: 3.4583	total loss: 3.4583
Epoch[1-41]	loss: 3.4564	total loss: 3.4564
Epoch[1-42]	loss: 3.4706	total loss: 3.4706
Epoch[1-43]	loss: 3.4647	total loss: 3.4647
Epoch[1-44]	loss: 3.4688	total loss: 3.4688
Epoch[1-45]	loss: 3.4610	total loss: 3.4610
Epoch[1-46]	loss: 3.4687	total loss: 3.4687
Epoch[1-47]	loss: 3.4638	total loss: 3.4638
Epoch[1-48]	loss: 3.4673	total loss: 3.4673
Epoch[1-49]	loss: 3.4648	total loss: 3.4648
Epoch[1-50]	loss: 3.4734	total loss: 3.4734
Epoch[1-51]	loss: 3.4748	total loss: 3.4748
Epoch[1-52]	loss: 3.4590	total loss: 3.4590
Epoch[1-53]	loss: 3.4631	total loss: 3.4631
Epoch[1-54]	loss: 3.4681	total loss: 3.4681
Epoch[1-55]	loss: 3.4727	total loss: 3.4727
Epoch[1-56]	loss: 3.4720	total loss: 3.4720
Epoch[1-57]	loss: 3.4769	total loss: 3.4769
Epoch[1-58]	loss: 3.4722	total loss: 3.4722
Epoch[1-59]	loss: 3.4708	total loss: 3.4708
Epoch[1-60]	loss: 3.4627	total loss: 3.4627
Epoch[1-61]	loss: 3.4711	total loss: 3.4711
Epoch[1-62]	loss: 3.4714	total loss: 3.4714
Epoch[1-63]	loss: 3.4699	total loss: 3.4699
Epoch[1-64]	loss: 3.4697	total loss: 3.4697
Epoch[1-65]	loss: 3.4667	total loss: 3.4667
Epoch[1-66]	loss: 3.4626	total loss: 3.4626
Epoch[1-67]	loss: 3.4619	total loss: 3.4619
Epoch[1-68]	loss: 3.4781	total loss: 3.4781
Epoch[1-69]	loss: 3.4720	total loss: 3.4720
Epoch[1-70]	loss: 3.4780	total loss: 3.4780
Epoch[1-71]	loss: 3.4742	total loss: 3.4742
Epoch[1-72]	loss: 3.4628	total loss: 3.4628
Epoch[1-73]	loss: 3.4708	total loss: 3.4708
Epoch[1-74]	loss: 3.4743	total loss: 3.4743
Epoch[1-75]	loss: 3.4701	total loss: 3.4701
Epoch[1-76]	loss: 3.4640	total loss: 3.4640
Epoch[1-77]	loss: 3.4741	total loss: 3.4741
Epoch[1-78]	loss: 3.4639	total loss: 3.4639
Epoch[1-79]	loss: 3.4708	total loss: 3.4708
Epoch[1-80]	loss: 3.4718	total loss: 3.4718
Epoch[1-81]	loss: 3.4524	total loss: 3.4524
Epoch[1-82]	loss: 3.4712	total loss: 3.4712
Epoch[1-83]	loss: 3.4639	total loss: 3.4639
Epoch[1-84]	loss: 3.4589	total loss: 3.4589
Epoch[1-85]	loss: 3.4592	total loss: 3.4592
Epoch[1-86]	loss: 3.4602	total loss: 3.4602
Epoch[1-87]	loss: 3.4733	total loss: 3.4733
Epoch[1-88]	loss: 3.4576	total loss: 3.4576
Epoch[1-89]	loss: 3.4710	total loss: 3.4710
Epoch[1-90]	loss: 3.4720	total loss: 3.4720
Epoch[1-91]	loss: 3.4600	total loss: 3.4600
Epoch[1-92]	loss: 3.4839	total loss: 3.4839
Epoch[1-93]	loss: 3.4640	total loss: 3.4640
